;id_Country;GRID_NO
0;008;54144
1;008;54145
2;008;55143
3;008;55144
4;008;55145
5;008;56141
6;008;56142
7;008;56143
8;008;56144
9;008;56145
10;008;56146
11;008;57141
12;008;57142
13;008;57143
14;008;57144
15;008;57145
16;008;57146
17;008;58141
18;008;58142
19;008;58143
20;008;58144
21;008;58145
22;008;58146
23;008;58147
24;008;59141
25;008;59142
26;008;59143
27;008;59144
28;008;59145
29;008;59146
30;008;59147
31;008;60141
32;008;60142
33;008;60143
34;008;60144
35;008;60145
36;008;60146
37;008;61141
38;008;61142
39;008;61143
40;008;61144
41;008;61145
42;008;62141
43;008;62142
44;008;62143
45;008;62144
46;008;62145
47;008;63140
48;008;63141
49;008;63142
50;008;63143
51;008;63144
52;008;63145
53;008;64140
54;008;64141
55;008;64142
56;008;64143
57;008;64144
58;008;64145
59;008;65140
60;008;65141
61;008;65142
62;008;65143
63;008;65144
64;008;66141
65;008;66142
66;008;66143
67;008;66144
68;008;67141
69;008;67142
70;056;96095
71;056;96096
72;056;96097
73;056;96098
74;056;97095
75;056;97096
76;056;97097
77;056;98093
78;056;98094
79;056;98095
80;056;98096
81;056;98097
82;056;98098
83;056;99091
84;056;99092
85;056;99093
86;056;99094
87;056;99095
88;056;99096
89;056;99097
90;056;99098
91;056;99099
92;056;100090
93;056;100091
94;056;100092
95;056;100093
96;056;100094
97;056;100095
98;056;100096
99;056;100097
100;056;100098
101;056;100099
102;056;101089
103;056;101090
104;056;101091
105;056;101092
106;056;101093
107;056;101094
108;056;101095
109;056;101096
110;056;101097
111;056;101098
112;056;101099
113;056;102089
114;056;102090
115;056;102091
116;056;102092
117;056;102093
118;056;102094
119;056;102095
120;056;102096
121;056;102097
122;056;102098
123;056;103088
124;056;103089
125;056;103090
126;056;103091
127;056;103092
128;056;103093
129;056;103094
130;056;103095
131;056;103096
132;056;103097
133;056;103098
134;056;104089
135;056;104090
136;056;104091
137;056;104092
138;056;104093
139;056;104094
140;056;104095
141;056;104096
142;056;104097
143;056;105095
144;983;64144
145;983;64145
146;983;65144
147;983;66142
148;983;66143
149;983;66144
150;983;67142
151;983;65145
152;983;65146
153;983;65147
154;983;66145
155;983;66146
156;983;66147
157;983;66148
158;983;67143
159;983;67144
160;983;67145
161;983;67146
162;983;67147
163;983;67148
164;983;68143
165;983;68144
166;983;68145
167;983;68146
168;983;68147
169;983;68148
170;983;69144
171;983;69145
172;983;69146
173;983;70144
174;983;70145
175;442;96097
176;442;96098
177;442;97097
178;442;98097
179;442;98098
180;442;95097
181;442;95098
182;442;95099
183;442;96099
184;442;97098
185;442;97099
