,year,summe_magnitude
0,1979.0,4202.013625
1,1980.0,7654.423745
2,1981.0,7368.383379
3,1982.0,16044.944483
4,1983.0,22323.139184
5,1984.0,6415.1235
6,1985.0,5920.24319
7,1986.0,8524.248159
8,1987.0,15199.715179
9,1988.0,22036.024764
10,1989.0,13948.968569
11,1990.0,14471.463742
12,1991.0,13898.637845
13,1992.0,30376.91543
14,1993.0,7097.944629
15,1994.0,43768.319411
16,1995.0,23384.660248
17,1996.0,7557.52249
18,1997.0,12148.162044
19,1998.0,26110.475964
20,1999.0,20568.307729
21,2000.0,29367.385052
22,2001.0,22571.899969
23,2002.0,24253.966694
24,2003.0,75984.704731
25,2004.0,9742.725305
26,2005.0,21224.236378
27,2006.0,39441.085151
28,2007.0,59289.465243
29,2008.0,21433.549369
30,2009.0,19504.966462
31,2010.0,64519.356747
32,2011.0,27787.908001
33,2012.0,65276.842105
34,2013.0,35920.483794
35,2014.0,43407.002374
36,2015.0,76307.297054
37,2016.0,28691.580155
38,2017.0,51994.381107
39,2018.0,63549.483356
40,2019.0,60030.628578
41,2020.0,43704.444877
